sExpr,Sharpe,Ret,TO,Margin,DD,DD_Len,MRate,AdjTO,LSharpe,SSharpe,LRet,SRet,LMrate,SMrate,LSB,totalSortPnlRatio,sectorSortPnlRatio,groupSortPnlRatio,groupTopPnlRatio
"SST_TM40Test1_181_12437::power_(mul(ts_detrend(x2,2),abs(ts_avg(ts_ret(x1,1),180))),0.5);2 TCFBaseClean 7 TCFBaseClean 1::ma_1 300::ema1_1 0.09000000715::no_neu::general_nor::20130104::20200102",0.107542589306831,0.868871927261353,3.24684429168701,1.5722975730896,0.0602997541427612,287,0.506770610809326,6.40693092346191,0.0846131592988968,0.0521594621241093,0.537496089935303,0.331375956535339,0.15597166121006,0.161560252308846,-0.0055885910987854,1.3191933631897,2.59919619560242,6.11308240890503,0.156861901283264
"SST_TM40Test1_181_28125::rsi(ts_sub_mean(x1,555),ts_sub_mean(x2,555));2 TCFBaseClean 5 TCFBaseClean 2::ma_1 225::ema1_1 0.01::no_neu::general_nor::20110104::20180102",0.106987938284874,0.679311394691467,1.47340834140778,2.70885801315308,0.0613135509192944,179,0.506145536899567,2.9110369682312,0.0517391376197338,0.0751246139407158,0.276431024074554,0.402880609035492,0.142384588718414,0.147099032998085,-0.0047144442796707,1.19492626190186,2.46345472335815,7.12558889389038,0.143447756767273
"SST_TM40Test1_181_24254::div(ts_norm(x1,1110),abs(ts_std(x2,1110)));2 TCFBaseClean 5 TCFBaseClean 1::ma_1 60::ema1_1 1::no_neu::general_nor::20110104::20180102",0.131167575716972,0.829773664474487,1.3408237695694,3.63603782653809,0.0407964549958706,119,0.526913821697235,2.54467368125916,0.0581661723554134,0.100382044911385,0.260865986347198,0.568907678127289,0.154908567667007,0.162696167826653,-0.007787600159645,1.14281237125397,2.00246810913086,5.42584609985352,0.157214909791946
"SST_TM40Test1_181_47650::sign(div(x2,abs(ts_avg(x1,5))));2 TCFBaseClean 6 TCFBaseClean 1::ma_1 120::ema1_1 0.01::no_neu::general_nor::20111010::20181008",0.0830399319529533,0.609059989452362,2.26494288444519,1.58087849617004,0.0845029950141907,135,0.525945723056793,4.30641984939575,0.047984953969717,0.0539953596889973,0.280346900224686,0.328713148832321,0.172866925597191,0.163022175431252,0.0098447501659393,1.65179574489594,3.26900243759155,8.5256814956665,0.153614267706871
"SST_TM40Test1_181_533::sign(ts_detrend(x1,2));1 TCFBaseClean 1::ma_1 20::ema1_1 0.002430000483::no_neu::general_nor::20110401::20180402",0.144957140088081,0.895429074764252,2.79665112495422,1.88008832931519,0.0407686457037926,141,0.516358852386475,5.41609954833984,0.0768598690629005,0.09034663438797,0.340258091688156,0.555170834064484,0.12441698461771,0.172846436500549,-0.0484294518828392,0.966503977775574,1.87565648555756,5.41383743286133,0.173286288976669
"SST_TM40Test1_181_39429::-rsi(ts_detrend(x2,4),ts_detrend(x1,4));2 TCFBaseClean 5 TCFBaseClean 2::ma_1 300::ema1_1 0.01::no_neu::general_nor::20120104::20190102",0.0830402225255966,0.506635904312134,1.2898166179657,2.30921149253845,0.1076899766922,252,0.512090563774109,2.51872754096985,0.0537389069795609,0.0439144633710384,0.273712515830994,0.232923328876495,0.151720851659775,0.154772520065308,-0.0030516684055328,1.54255223274231,3.36535739898682,9.27454662322998,0.149402439594269
"SST_TM40Test1_181_18576::-rsi(ts_detrend(x2,1),ts_detrend(x1,1));2 TCFBaseClean 3 TCFBaseClean 2::ma_1 225::ema1_1 0.01::no_neu::general_nor::20120702::20190701",0.0901433452963829,0.616395831108093,1.41901230812073,2.55219578742981,0.104102045297623,267,0.51604151725769,2.7498025894165,0.0725345835089684,0.0492233335971832,0.286406397819519,0.329989612102509,0.108557470142841,0.215897634625435,-0.107340164482594,1.43689465522766,2.87975192070007,7.88168573379517,0.267615526914597
"SST_TM40Test1_181_18576::-rsi(ts_detrend(x2,1),ts_detrend(x1,1));2 TCFBaseClean 3 TCFBaseClean 2::ma_1 225::ema1_1 0.01::no_neu::general_nor::20110401::20180402",0.087346076965332,0.637272000312805,1.31722402572632,2.84086465835571,0.104102045297623,267,0.514559149742126,2.55990791320801,0.0537415593862534,0.0554573014378548,0.247614845633507,0.389657139778137,0.0987060070037842,0.198013082146645,-0.0993070751428604,1.55452859401703,2.93749713897705,7.73810958862305,0.218978434801102
"SST_TM40Test1_181_14266::-mul(ts_avg(ts_ret(x1,1),300),abs(ts_corr(ts_avg(ts_ret(x1,1),300),x2,1110)));2 TCFBaseClean 7 TCFBaseClean 1::ma_1 300::ema1_1 0.01::no_neu::general_nor::20110701::20180702",0.0907476097345352,0.644124329090118,0.766594052314758,4.93679094314575,0.0598603934049606,183,0.490225315093994,1.56375861167908,0.070230707526207,0.0340048037469387,0.448130548000336,0.195993900299072,0.149339109659195,0.127954259514809,0.0213848501443863,1.51978182792664,3.04385256767273,7.25525426864624,0.145045652985573
"SST_TM40Test1_181_19948::sign(rsi(ts_avg(x1,300),ts_avg(x2,300)));2 TCFBaseClean 5 TCFBaseClean 2::ma_1 1::ema1_1 0.01::no_neu::general_nor::20110104::20180102",0.0811984688043594,0.477149546146393,1.17541837692261,2.38507747650146,0.0393086373806,153,0.51604688167572,2.27773571014404,0.041521891951561,0.0510654933750629,0.205052420496941,0.272097170352936,0.144199594855309,0.145987287163734,-0.0017876923084259,1.67109024524689,3.08159208297729,9.25152206420898,0.129136234521866
"SST_TM40Test1_181_27675::-sub(ts_norm(x2,1110),ts_norm(x1,1110));2 TCFBaseClean 5 TCFBaseClean 2::ma_1 225::ema1_1 0.01::no_neu::general_nor::20111010::20181008",0.161016538739204,1.04029595851898,1.50224220752716,4.07110834121704,0.0393062829971313,111,0.513356804847717,2.92631196975708,0.0981350764632225,0.0982443690299988,0.500241696834564,0.540054082870483,0.154772758483887,0.154360309243202,0.0004124492406845,0.879562079906464,1.6994377374649,4.6002049446106,0.131153181195259
"SST_TM40Test1_181_20830::-rsi(ts_detrend(x2,10),ts_detrend(x1,10));2 TCFBaseClean 5 TCFBaseClean 2::ma_1 225::ema1_1 0.01::no_neu::general_nor::20110701::20180702",0.110575802624226,0.77095490694046,1.42404818534851,3.18086123466492,0.0564671456813812,133,0.504190623760223,2.82442402839661,0.0673507079482079,0.0671309679746628,0.377531886100769,0.393423110246658,0.143003180623055,0.145146027207375,-0.00214284658432,1.2378009557724,2.54491019248962,6.4417667388916,0.239855617284775
