sExpr,Sharpe,Ret,TO,Margin,DD,DD_Len,MRate,AdjTO,LSharpe,SSharpe,LRet,SRet,LMrate,SMrate,LSB,totalSortPnlRatio,sectorSortPnlRatio,groupSortPnlRatio,groupTopPnlRatio
"SST_TM40Test1_181_14835::-sub(ts_norm(x2,555),ts_norm(x1,555));2 TCFBaseClean 5 TCFBaseClean 2::ma_1 20::ema1_1 0.002430000483::no_neu::general_nor::20130401::20200401",0.132734775543213,0.0780198872089386,3.98910856246948,1.06294703483582,0.023623663932085,83,0.513512551784515,7.76827812194824,0.219988271594048,-0.0799646154046059,0.118319444358349,-0.0402995496988297,0.183951154351234,0.155964866280556,0.0279862880706787,1.00261855125427,2.31509637832642,7.05658578872681,0.297024995088577
"SST_TM40Test1_181_20830::-rsi(ts_detrend(x2,10),ts_detrend(x1,10));2 TCFBaseClean 5 TCFBaseClean 2::ma_1 225::ema1_1 0.01::no_neu::general_nor::20111010::20181008",0.0072588184848427,0.0145361963659525,1.7074294090271,0.15592485666275,0.110991761088371,189,0.52215439081192,3.26997065544128,0.0272156707942486,-0.0171068422496319,0.044256828725338,-0.0297206677496433,0.164883673191071,0.172557204961777,-0.0076735317707061,17.630521774292,36.8637466430664,102.918190002441,1.61248826980591
"SST_TM40Test1_181_14017::rsi(ts_detrend(x1,6),ts_detrend(x2,6));2 TCFBaseClean 5 TCFBaseClean 2::ma_1 60::ema1_1 0.01::no_neu::general_nor::20130104::20200102",0.0473736599087715,0.0460348725318909,3.20264673233032,0.593967318534851,0.0405034571886063,141,0.515816748142242,6.20888471603394,0.0709279626607895,-0.012809838168323,0.0565968006849289,-0.010561915114522,0.158485874533653,0.156878456473351,0.0016074180603027,2.65201354026794,5.80222368240356,17.1940326690674,0.475316435098648
"SST_TM40Test1_181_49016::power_(mul(ts_sub_mean(div(ts_detrend(x3,1),abs(ts_avg(x2,180))),1665),ts_avg(x1,100)),0.5);3 TCFBidAskPrice 4 TCFBaseClean 3 TCFBaseClean 1::ma_1 120::ema1_1 0.02700000322::no_neu::general_nor::20110104::20180102",0.0680426433682442,0.208889335393906,3.27709197998047,0.874379813671112,0.0628796219825745,106,0.522110223770142,6.2766284942627,0.0676522925496101,0.0220035370439291,0.149318784475327,0.0595705695450306,0.170671835541725,0.180173650383949,-0.0095018148422241,1.96094298362732,3.59705090522766,9.7926549911499,0.188432976603508
"SST_TM40Test1_181_9337::sign(div(sub(ts_avg(x2,300),ts_avg(x2,1665)),abs(ts_std(x1,1110))));2 TCFBaseClean 5 TCFBaseClean 1::ma_1 120::ema1_1 1::no_neu::general_nor::20120104::20190102",0.0827827751636505,0.172527894377708,1.49331283569336,2.37723565101624,0.0549834072589874,95,0.521782577037811,2.86194467544556,0.125191241502762,-0.0143536003306508,0.197420224547386,-0.0248923078179359,0.17786417901516,0.173628479242325,0.0042356997728347,1.56089198589325,3.3364155292511,9.19984722137451,0.318234831094742
"SST_TM40Test1_181_12437::power_(mul(ts_detrend(x2,2),abs(ts_avg(ts_ret(x1,1),180))),0.5);2 TCFBaseClean 7 TCFBaseClean 1::ma_1 300::ema1_1 0.09000000715::no_neu::general_nor::20130104::20200102",0.0873995125293732,0.106255754828453,3.31568002700806,1.32423317432404,0.0599836111068726,151,0.545039653778076,6.0833740234375,0.060427438467741,0.0423229299485683,0.0602497979998589,0.0460059605538845,0.159186378121376,0.163718551397324,-0.0045321732759475,1.73183417320251,3.24128484725952,8.22923278808594,0.340411633253098
"SST_TM40Test1_181_28125::rsi(ts_sub_mean(x1,555),ts_sub_mean(x2,555));2 TCFBaseClean 5 TCFBaseClean 2::ma_1 225::ema1_1 0.01::no_neu::general_nor::20110104::20180102",0.0340572185814381,0.0730646401643753,1.84367835521698,0.54361891746521,0.0449496358633041,269,0.525274634361267,3.50993227958679,0.032042570412159,0.0072088581509888,0.0592488795518875,0.0138157606124878,0.176270201802254,0.177879735827446,-0.0016095340251922,3.76501226425171,8.27053070068359,25.7213554382324,0.414716750383377
"SST_TM40Test1_181_24254::div(ts_norm(x1,1110),abs(ts_std(x2,1110)));2 TCFBaseClean 5 TCFBaseClean 1::ma_1 60::ema1_1 1::no_neu::general_nor::20110104::20180102",0.120162807404995,0.253480345010757,1.65161311626434,2.10527300834656,0.0196917951107025,92,0.513436377048492,3.21678233146667,0.125085771083832,0.0306668169796467,0.197439610958099,0.0560407526791096,0.193917289376259,0.179844215512276,0.0140730738639832,1.10201323032379,2.27193546295166,6.85151338577271,0.101818583905697
"SST_TM40Test1_181_47650::sign(div(x2,abs(ts_avg(x1,5))));2 TCFBaseClean 6 TCFBaseClean 1::ma_1 120::ema1_1 0.01::no_neu::general_nor::20111010::20181008",0.0424344204366207,0.0957321599125862,2.29378533363342,0.764385521411896,0.108377709984779,208,0.474506318569183,4.83404588699341,0.041708767414093,0.0136469481512904,0.0681762620806694,0.0275558978319168,0.176254436373711,0.166410341858864,0.0098440945148468,2.95001006126404,6.19057559967041,16.3060836791992,0.303168088197708
"SST_TM40Test1_181_533::sign(ts_detrend(x1,2));1 TCFBaseClean 1::ma_1 20::ema1_1 0.002430000483::no_neu::general_nor::20110401::20180402",0.0517947897315025,0.102401614189148,3.3324933052063,0.458630263805389,0.0401825904846191,160,0.528651416301727,6.3037633895874,0.068268395960331,-0.004274615086615,0.110983520746231,-0.0085819000378251,0.153991311788559,0.203226372599602,-0.0492350608110428,2.46333241462708,5.44443273544312,17.3085613250732,0.32208114862442
